Date,Price Close,Volatility - 30 days,Volume
2019-01-02,219.5,,32900482
2019-01-03,215.5,,34615620
2019-01-04,208.0,,67043521
2019-01-07,213.0,,35695176
2019-01-08,211.0,,23794481
2019-01-09,215.5,,51255446
2019-01-10,216.0,,20832593
2019-01-11,220.5,,28658288
2019-01-14,218.5,,17612296
2019-01-15,221.0,,42990923
2019-01-16,217.5,,30038282
2019-01-17,220.5,,21163986
2019-01-18,218.5,,52677569
2019-01-21,221.0,,32515866
2019-01-22,223.0,,30958483
2019-01-23,220.5,,18671213
2019-01-24,222.5,,31348924
2019-01-25,226.0,,48039764
2019-01-28,229.0,,29134257
2019-01-29,222.5,,42566520
2019-01-30,221.0,,51889945
2019-02-11,228.0,,81360106
2019-02-12,230.0,,30125670
2019-02-13,229.0,,28634925
2019-02-14,227.0,,23647751
2019-02-15,227.0,,22369799
2019-02-18,230.0,,18163916
2019-02-19,229.0,,18423023
2019-02-20,234.5,,31887710
2019-02-21,236.5,,34013489
2019-02-22,236.5,,22032163
2019-02-25,238.0,,25227138
2019-02-26,239.5,,24586789
2019-02-27,239.0,,37947889
2019-03-04,235.5,,45164513
2019-03-05,233.0,,23708407
2019-03-06,234.0,,20811226
2019-03-07,234.0,,17226192
2019-03-08,230.0,,22535659
2019-03-11,230.5,,34282793
2019-03-12,235.5,,23839972
2019-03-13,237.0,,22493195
2019-03-14,234.5,,17281356
2019-03-15,239.0,,34542729
2019-03-18,241.0,,27040532
2019-03-19,240.5,,14620009
2019-03-20,242.0,,23055971
2019-03-21,245.5,,27514502
2019-03-22,248.5,,22996467
2019-03-25,241.5,,19273254
2019-03-26,244.0,,21053170
2019-03-27,241.5,,23622089
2019-03-28,242.0,,13998054
2019-03-29,245.5,,31024810
2019-04-01,245.5,,35330656
2019-04-02,246.0,,25189053
2019-04-03,246.5,,28581323
2019-04-08,253.0,,46426821
2019-04-09,254.0,,22745674
2019-04-10,254.0,,33174934
2019-04-11,252.0,,25146840
2019-04-12,252.0,,13888148
2019-04-15,255.5,,17257002
2019-04-16,257.0,,20231648
2019-04-17,261.5,,39037191
2019-04-18,264.5,,48525490
2019-04-19,264.5,,47698699
2019-04-22,266.0,,24967393
2019-04-23,268.0,,26251847
2019-04-24,269.0,,37386755
2019-04-25,267.5,,36572455
2019-04-26,260.0,,51743804
2019-04-29,259.5,,32651618
2019-04-30,259.0,,40446419
2019-05-02,259.0,,27376394
2019-05-03,265.0,,30200246
2019-05-06,259.0,,33688187
2019-05-07,262.5,,25686126
2019-05-08,260.0,,25902364
2019-05-09,256.5,,34166574
2019-05-10,256.0,,18868212
2019-05-13,250.5,,29317535
2019-05-14,248.5,,45620708
2019-05-15,249.0,,37223479
2019-05-16,247.0,,30331519
2019-05-17,241.5,,40006856
2019-05-20,238.0,,47097661
2019-05-21,234.0,,82872775
2019-05-22,238.0,,36289034
2019-05-23,230.0,,62258627
2019-05-24,233.0,,38226789
2019-05-27,231.0,,37447033
2019-05-28,230.5,,99322033
2019-05-29,229.5,,32260236
2019-05-30,231.0,,40375328
2019-05-31,235.5,,49163217
2019-06-03,238.0,,36687092
2019-06-04,233.0,,24443428
2019-06-05,235.0,,35901584
2019-06-06,232.0,,34651731
2019-06-10,240.0,,35521888
2019-06-11,244.5,,34691670
2019-06-12,246.0,,30409556
2019-06-13,240.0,,33731724
2019-06-14,236.0,,35403556
2019-06-17,233.0,,51692012
2019-06-18,235.5,,28798087
2019-06-19,244.0,,50234372
2019-06-20,245.0,,39717291
2019-06-21,248.5,,62136304
2019-06-24,241.0,,43460507
2019-06-25,238.5,,29735283
2019-06-26,234.5,,28770041
2019-06-27,240.5,,42007834
2019-06-28,239.0,,28085212
2019-07-01,248.5,,66370875
2019-07-02,249.0,,26832202
2019-07-03,242.5,,29549774
2019-07-04,244.0,,18691240
2019-07-05,243.0,,27317074
2019-07-08,242.5,,29190909
2019-07-09,242.0,,16538987
2019-07-10,247.0,,23812131
2019-07-11,250.0,,31296289
2019-07-12,250.5,,23868432
2019-07-15,254.5,,34264300
2019-07-16,256.0,,26141249
2019-07-17,252.0,,34346648
2019-07-18,254.0,,20908575
2019-07-19,259.0,,59879798
2019-07-22,264.0,,31863639
2019-07-23,264.0,,29273223
2019-07-24,265.0,,24511039
2019-07-25,265.0,,30698545
2019-07-26,261.0,,20768071
2019-07-29,261.0,,18473320
2019-07-30,260.0,,22895612
2019-07-31,259.5,,36365601
2019-08-01,256.5,,30107526
2019-08-02,251.5,,54165644
2019-08-05,246.5,,52835721
2019-08-06,248.5,,58916879
2019-08-07,248.0,,29435460
2019-08-08,253.5,,30140266
2019-08-12,251.0,,24732603
2019-08-13,246.5,,25045107
2019-08-14,249.5,,36336703
2019-08-15,248.0,,28277412
2019-08-16,250.0,,25696715
2019-08-19,252.0,,25098514
2019-08-20,254.5,,20620494
2019-08-21,254.5,,20269296
2019-08-22,254.0,,22136840
2019-08-23,254.0,,14772877
2019-08-26,248.5,,31740620
2019-08-27,250.0,,53664951
2019-08-28,252.0,,15280882
2019-08-29,254.0,,20085767
2019-08-30,259.0,,35299201
2019-09-02,257.5,,14776854
2019-09-03,254.0,,26086495
2019-09-04,257.5,,23697733
2019-09-05,263.0,,49041728
2019-09-06,263.5,,26609515
2019-09-09,265.0,,17317833
2019-09-10,261.5,,30019866
2019-09-11,263.0,,36266015
2019-09-12,262.5,,38792293
2019-09-16,265.5,,38913966
2019-09-17,265.0,,30069844
2019-09-18,267.0,,51360759
2019-09-19,265.0,,27165567
2019-09-20,264.0,,44555865
2019-09-23,264.0,,14220208
2019-09-24,265.0,,24304943
2019-09-25,266.0,,23244163
2019-09-26,268.0,,34128103
2019-09-27,272.0,,44242817
2019-10-01,280.0,,75248890
2019-10-02,279.5,,30572953
2019-10-03,276.5,,35874864
2019-10-04,276.5,,35814613
2019-10-07,278.0,,17750230
2019-10-08,286.5,,39868551
2019-10-09,282.0,,34895456
2019-10-14,290.0,,53403517
2019-10-15,293.5,,54754830
2019-10-16,296.5,,42917144
2019-10-17,293.5,,41920938
2019-10-18,293.0,,45460984
2019-10-21,290.0,,35860365
2019-10-22,294.0,,26525020
2019-10-23,293.0,,30382408
2019-10-24,293.0,,29040827
2019-10-25,293.5,,25082711
2019-10-28,294.5,,20216561
2019-10-29,298.5,,37130131
2019-10-30,299.5,,32370342
2019-10-31,298.5,,43123514
2019-11-01,299.0,,30216678
2019-11-04,307.0,,45155671
2019-11-05,310.5,,32253184
2019-11-06,311.0,,22149743
2019-11-07,309.0,,28453659
2019-11-08,305.5,,26230542
2019-11-11,301.0,,35285583
2019-11-12,305.0,,19016708
2019-11-13,304.0,,18422438
2019-11-14,303.5,,15734835
2019-11-15,307.0,,29038445
2019-11-18,311.0,,18741325
2019-11-19,315.0,,33096197
2019-11-20,313.5,,24538973
2019-11-21,311.0,,30163833
2019-11-22,309.0,,26492984
2019-11-25,307.0,,19855177
2019-11-26,307.0,,101916622
2019-11-27,311.0,,18527648
2019-11-28,309.5,,19718982
2019-11-29,305.0,,32423561
2019-12-02,307.5,,25516807
2019-12-03,307.0,,27686319
2019-12-04,306.0,,34911686
2019-12-05,312.0,,39349842
2019-12-06,313.0,,18402703
2019-12-09,316.0,,23556081
2019-12-10,313.5,,20847594
2019-12-11,319.0,,34329148
2019-12-12,331.5,,52801851
2019-12-13,339.0,,60843939
2019-12-16,336.0,,48340188
2019-12-17,345.0,,41428458
2019-12-18,344.5,,42486841
2019-12-19,335.0,,55667012
2019-12-20,329.0,,86280459
2019-12-23,334.0,,26911340
2019-12-24,332.0,,13783907
2019-12-25,333.0,,12262954
2019-12-26,333.0,,11427884
2019-12-27,338.0,,16677806
2019-12-30,334.5,,21591263
2019-12-31,331.0,,22950517
2020-01-02,339.0,,33282120
2020-01-03,339.5,,42023268
2020-01-06,332.0,,45677057
2020-01-07,329.5,,51746181
2020-01-08,329.5,,37913748
2020-01-09,337.5,,32397504
2020-01-10,339.5,,27880115
2020-01-13,341.5,,30663332
2020-01-14,346.0,,30368993
2020-01-15,340.0,,54575274
2020-01-16,334.5,,58217420
2020-01-17,333.0,,53908097
2020-01-20,333.0,,35551203
2020-01-30,316.5,,126820049
2020-01-31,320.0,,62912055
2020-02-03,315.0,,59711849
2020-02-04,325.0,,52208496
2020-02-05,327.5,,36601453
2020-02-06,332.5,,29659094
2020-02-07,328.0,,30055327
2020-02-10,327.5,,30814424
2020-02-11,331.5,,29062935
2020-02-12,335.0,,37612639
2020-02-13,335.0,,23217021
2020-02-14,335.0,,18326683
2020-02-17,331.5,,16145079
2020-02-18,322.0,,64662604
2020-02-19,326.5,,48856218
2020-02-20,325.5,,27061736
2020-02-21,325.0,,22974534
2020-02-24,320.0,,42946680
2020-02-25,322.0,,38674011
2020-02-26,318.5,,60768362
2020-02-27,316.0,,62401927
2020-03-02,311.0,,86372942
2020-03-03,317.5,,55169411
2020-03-04,320.5,,44745146
2020-03-05,323.0,,38223525
2020-03-06,315.0,,52807760
2020-03-09,305.5,,88633277
2020-03-10,307.0,,74869130
2020-03-11,302.0,,64923710
2020-03-12,294.0,,114173351
2020-03-13,290.0,,151268148
2020-03-16,276.5,,103933228
2020-03-17,268.0,,122409651
2020-03-18,260.0,,118620643
2020-03-19,248.0,,160811697
2020-03-20,270.0,,159179726
2020-03-23,255.0,,76963709
2020-03-24,267.5,,82377933
2020-03-25,277.0,,80514199
2020-03-26,280.0,,54189633
2020-03-27,273.0,,69320306
2020-03-30,267.5,,53403956
2020-03-31,274.0,,53901923
2020-04-01,271.5,,47572034
2020-04-06,275.5,,59712754
2020-04-07,283.0,,48887346
2020-04-08,285.0,,38698826
2020-04-09,283.0,,29276430
2020-04-10,279.5,,28206858
2020-04-13,278.5,,22196596
2020-04-14,285.0,,50196688
2020-04-15,287.5,,58561434
2020-04-16,286.5,,48257280
2020-04-17,306.5,,117447201
2020-04-20,304.0,,44586860
2020-04-21,295.0,,61949357
2020-04-22,294.0,,43568580
2020-04-23,295.5,,39977278
2020-04-24,294.0,,26465090
2020-04-27,298.0,,38493406
2020-04-28,296.5,,37621165
2020-04-29,299.0,,46253301
2020-04-30,304.5,,58439085
2020-05-04,295.0,,72252861
2020-05-05,295.5,,23988405
2020-05-06,296.0,,35704479
2020-05-07,297.5,,28017198
2020-05-08,297.5,,35613893
2020-05-11,301.0,,32379019
2020-05-12,295.0,,52494788
2020-05-13,297.0,,46158418
2020-05-14,293.0,,34480948
2020-05-15,298.0,,44304804
2020-05-18,290.0,,96872065
2020-05-19,291.5,,53083214
2020-05-20,294.0,,36789994
2020-05-21,297.5,,36299468
2020-05-22,292.0,,41138923
2020-05-25,292.0,,32942223
2020-05-26,295.5,,35817481
2020-05-27,296.5,,23375959
2020-05-28,294.0,,32395568
2020-05-29,292.0,,96611181
2020-06-01,295.5,,37936214
2020-06-02,296.5,,26663587
2020-06-03,301.0,,67894337
2020-06-04,306.0,,47225322
2020-06-05,311.5,,44077262
2020-06-08,318.0,,52042921
2020-06-09,319.0,,37068082
2020-06-10,322.5,,42207259
2020-06-11,320.5,,50612255
2020-06-12,316.0,,46970918
2020-06-15,309.5,,51032404
2020-06-16,315.0,,40725216
2020-06-17,315.0,,34692968
2020-06-18,314.5,,35443474
2020-06-19,314.5,,48130280
2020-06-22,312.0,,37374616
2020-06-23,315.0,,41300084
2020-06-24,317.5,,55464024
2020-06-29,312.0,,56672892
2020-06-30,313.0,,49241860
2020-07-01,317.5,,29685342
2020-07-02,322.0,,37789178
2020-07-03,329.5,,55656987
2020-07-06,338.0,,57256220
2020-07-07,338.5,,59046323
2020-07-08,341.0,,33813218
2020-07-09,345.0,,37410376
2020-07-10,348.5,,60902108
2020-07-13,354.5,,49459523
2020-07-14,363.5,,63030150
2020-07-15,363.0,,75105362
2020-07-16,357.5,,68582512
2020-07-17,367.0,,66403485
2020-07-20,366.0,,44940238
2020-07-21,383.0,,64440128
2020-07-22,384.0,,43959670
2020-07-23,381.5,,45397282
2020-07-24,386.0,,90988734
2020-07-27,424.5,,103315640
2020-07-28,435.0,,172157746
2020-07-29,422.0,,88641166
2020-07-30,434.0,,69936949
2020-07-31,425.5,,50484674
2020-08-03,416.0,,77288571
2020-08-04,425.5,,41697445
2020-08-05,429.0,,47460834
2020-08-06,435.0,,43443627
2020-08-07,433.0,,37611388
2020-08-10,435.5,,36067500
2020-08-11,429.0,,34545313
2020-08-12,419.0,,53980474
2020-08-13,429.0,,45669335
2020-08-14,427.0,,24259947
2020-08-17,435.0,,34607731
2020-08-18,433.0,,45504160
2020-08-19,427.5,,31486800
2020-08-20,415.0,,75155235
2020-08-21,424.5,,41956467
2020-08-24,428.0,,49199406
2020-08-25,434.5,,37024899
2020-08-26,442.0,,41406340
2020-08-27,444.0,,57206712
2020-08-28,435.0,,57039210
2020-08-31,426.5,,88569538
2020-09-01,435.0,,50129577
2020-09-02,433.0,,42013407
2020-09-03,436.0,,40683617
2020-09-04,429.0,,51349911
2020-09-07,426.0,,39854584
2020-09-08,431.0,,23714670
2020-09-09,427.0,,40727362
2020-09-10,435.0,,35281921
2020-09-11,436.5,,34893469
2020-09-14,441.0,,39325833
2020-09-15,445.0,,39661449
2020-09-16,458.0,,70608238
2020-09-17,448.5,,44420506
2020-09-18,444.0,,52999922
2020-09-21,440.0,,40193920
2020-09-22,437.0,,36842639
2020-09-23,433.5,,47426963
2020-09-24,423.0,,82510381
2020-09-25,424.0,,41263269
2020-09-28,431.5,,34427479
2020-09-29,431.0,,42730502
2020-09-30,433.0,,28859204
2020-10-05,432.5,,33238832
2020-10-06,439.5,,36276395
2020-10-07,443.0,,44691239
2020-10-08,453.0,,60853811
2020-10-12,460.0,,67645223
2020-10-13,462.0,,46303738
2020-10-14,459.0,,52677241
2020-10-15,453.0,,49987278
2020-10-16,449.0,,48274801
2020-10-19,457.5,,34846906
2020-10-20,451.0,,26567638
2020-10-21,453.0,,29906921
2020-10-22,455.0,,25285547
2020-10-23,452.0,,18777385
2020-10-26,450.0,,15800622
2020-10-27,447.0,,31795010
2020-10-28,444.0,,26221663
2020-10-29,437.0,,43075387
2020-10-30,432.0,,49770771
2020-11-02,435.5,,34539576
2020-11-03,441.0,,31461727
2020-11-04,450.0,,37929652
2020-11-05,451.0,,36539446
2020-11-06,452.5,,32644190
2020-11-09,458.5,,43415670
2020-11-10,451.0,,36786882
2020-11-11,457.0,,40355804
2020-11-12,458.0,,57993774
2020-11-13,462.0,,31483881
2020-11-16,484.0,,83380911
2020-11-17,485.5,,75763870
2020-11-18,497.0,,56607501
2020-11-19,490.0,,47345316
2020-11-20,488.0,,35242579
2020-11-23,496.5,,43708352
2020-11-24,492.0,,38630079
2020-11-25,487.0,,47179640
2020-11-26,489.0,,31844322
2020-11-27,489.0,,35196829
2020-11-30,480.5,,149311778
2020-12-01,490.0,,38341265
2020-12-02,499.0,,60208035
2020-12-03,497.0,,36919644
2020-12-04,503.0,,54471042
2020-12-07,514.0,,45493551
2020-12-08,524.0,,41830257
2020-12-09,520.0,,46831705
2020-12-10,512.0,,43991133
2020-12-11,516.0,,51296611
2020-12-14,508.0,,30809747
2020-12-15,504.0,,43059899
2020-12-16,512.0,,53661282
2020-12-17,508.0,,39285785
2020-12-18,510.0,,40625502
2020-12-21,516.0,,35153138
2020-12-22,509.0,,25632245
2020-12-23,509.0,,18320849
2020-12-24,510.0,,15218008
2020-12-25,511.0,,12581145
2020-12-28,515.0,,19520886
2020-12-29,515.0,,20226736
2020-12-30,525.0,,46705107
2020-12-31,530.0,,31173332
2021-01-04,536.0,,39489959
2021-01-05,542.0,,34839391
2021-01-06,549.0,,55614434
2021-01-07,565.0,,53392763
2021-01-08,580.0,,62957148
2021-01-11,584.0,,52771778
2021-01-12,591.0,,52605212
2021-01-13,605.0,,75707681
2021-01-14,592.0,,90309708
2021-01-15,601.0,,100998199
2021-01-18,607.0,,50388664
2021-01-19,627.0,,52947466
2021-01-20,647.0,,95484470
2021-01-21,673.0,,97590371
2021-01-22,649.0,,134238314
2021-01-25,633.0,,98608285
2021-01-26,617.0,,114797609
2021-01-27,615.0,,72823691
2021-01-28,601.0,,104181514
2021-01-29,591.0,,96875889
2021-02-01,611.0,,70161939
2021-02-02,632.0,,80724207
2021-02-03,630.0,,59763227
2021-02-04,627.0,,47547873
2021-02-05,632.0,,57350831
2021-02-17,663.0,,115578402
2021-02-18,660.0,,54520341
2021-02-19,652.0,,51651844
2021-02-22,650.0,,39512078
2021-02-23,641.0,,52868029
2021-02-24,625.0,,80010637
2021-02-25,635.0,,45279276
2021-02-26,606.0,,137933162
2021-03-02,609.0,,57792973
2021-03-03,622.0,,61171387
2021-03-04,601.0,,75508388
2021-03-05,601.0,,85579527
2021-03-08,598.0,,47676630
2021-03-09,595.0,,74471341
2021-03-10,597.0,,41735443
2021-03-11,609.0,,55462783
2021-03-12,614.0,,33876990
2021-03-15,611.0,,29767904
2021-03-16,613.0,,37780820
2021-03-17,604.0,,43942131
2021-03-18,602.0,,30223846
2021-03-19,591.0,,74960854
2021-03-22,593.0,,35931375
2021-03-23,594.0,,31933358
2021-03-24,576.0,,115318351
2021-03-25,575.0,,74225812
2021-03-26,590.0,,37937242
2021-03-29,599.0,,40573913
2021-03-30,597.0,,34686346
2021-03-31,587.0,,44454672
2021-04-01,602.0,,45972766
2021-04-06,610.0,,37664216
2021-04-07,610.0,,28140964
2021-04-08,613.0,,26658283
2021-04-09,610.0,,31601619
2021-04-12,605.0,,23319822
2021-04-13,605.0,,27386926
2021-04-14,612.0,,31144922
2021-04-15,619.0,,36394255
2021-04-16,610.0,,49952191
2021-04-19,603.0,,25234976
2021-04-20,602.0,,36655069
2021-04-21,592.0,,41893725
2021-04-22,591.0,,38094824
2021-04-23,602.0,,29004756
2021-04-26,610.0,,32426908
2021-04-27,610.0,,26761401
2021-04-28,602.0,,24601487
2021-04-29,600.0,,35756460
2021-05-03,588.0,,46801189
2021-05-04,591.0,,45507479
2021-05-05,585.0,,31786592
2021-05-06,587.0,,33165446
2021-05-07,599.0,,28719597
2021-05-10,589.0,,21365583
2021-05-11,571.0,,66035839
2021-05-12,560.0,,138328672
2021-05-13,547.0,,71519430
2021-05-14,557.0,,38625148
2021-05-17,549.0,,58446847
2021-05-18,572.0,,44584258
2021-05-19,567.0,,29610174
2021-05-20,567.0,,36605692
2021-05-21,573.0,,28009899
2021-05-24,568.0,,15981036
2021-05-25,583.0,,35445350
2021-05-26,585.0,,19555305
2021-05-27,582.0,,70061002
2021-05-28,590.0,,30720737
2021-05-31,597.0,,31557426
2021-06-01,598.0,,18405285
2021-06-02,595.0,,22416789
2021-06-03,596.0,,31703679
2021-06-04,595.0,,16072580
2021-06-07,592.0,,17729179
2021-06-08,589.0,,14083552
2021-06-09,586.0,,21575159
2021-06-10,599.0,,29741770
2021-06-11,602.0,,24940705
2021-06-15,609.0,,30245897
2021-06-16,605.0,,28624508
2021-06-17,606.0,,26477032
2021-06-18,603.0,,42036170
2021-06-21,583.0,,47339695
2021-06-22,578.0,,30578091
2021-06-23,595.0,,36386023
2021-06-24,590.0,,19322765
2021-06-25,591.0,,19140086
2021-06-28,590.0,,15401977
2021-06-29,595.0,,30837548
2021-06-30,595.0,,34021380
2021-07-01,593.0,,18719706
2021-07-02,588.0,,19633718
2021-07-05,591.0,,30274105
2021-07-06,592.0,,13830591
2021-07-07,594.0,,17329148
2021-07-08,588.0,,21596183
2021-07-09,584.0,,30602492
2021-07-12,593.0,,33011596
2021-07-13,607.0,,54894335
2021-07-14,613.0,,39670241
2021-07-15,614.0,,23057868
2021-07-16,589.0,,61882128
2021-07-19,582.0,,43248966
2021-07-20,581.0,,16352855
2021-07-21,585.0,,26476215
2021-07-22,591.0,,27075950
2021-07-23,585.0,,15705191
2021-07-26,580.0,,22442745
2021-07-27,580.0,,18925325
2021-07-28,579.0,,39744486
2021-07-29,583.0,,25014772
2021-07-30,580.0,,26141286
2021-08-02,590.0,,24948096
2021-08-03,594.0,,28104984
2021-08-04,596.0,,23714971
2021-08-05,596.0,,15673765
2021-08-06,591.0,,13994018
2021-08-09,595.0,,17611955
2021-08-10,591.0,,17620825
2021-08-11,590.0,,20311399
2021-08-12,586.0,,16031265
2021-08-13,581.0,,25440973
2021-08-16,584.0,,19949389
2021-08-17,580.0,,31845499
2021-08-18,574.0,,47063629
2021-08-19,559.0,,42133375
2021-08-20,552.0,,47741449
2021-08-23,566.0,,34775337
2021-08-24,572.0,,27397309
2021-08-25,585.0,,28867651
2021-08-26,594.0,,45027320
2021-08-27,599.0,,29459532
2021-08-30,605.0,,40606821
2021-08-31,614.0,,58916407
2021-09-01,613.0,,31242788
2021-09-02,607.0,,26715492
2021-09-03,620.0,,53915006
2021-09-06,631.0,,59223061
2021-09-07,623.0,,27422775
2021-09-08,619.0,,38713621
2021-09-09,619.0,,19309522
2021-09-10,622.0,,16740439
2021-09-13,615.0,,15809768
2021-09-14,613.0,,16024935
2021-09-15,607.0,,26041452
2021-09-16,600.0,,23315040
2021-09-17,600.0,,42383815
2021-09-22,586.0,,42732169
2021-09-23,588.0,,22736266
2021-09-24,598.0,,17302848
2021-09-27,602.0,,20034221
2021-09-28,594.0,,17325896
2021-09-29,580.0,,51834124
2021-09-30,580.0,,36318623
2021-10-01,574.0,,39006124
2021-10-04,572.0,,22288138
2021-10-05,572.0,,36063650
2021-10-06,571.0,,33989379
2021-10-07,580.0,,28480400
2021-10-08,575.0,,22601904
2021-10-12,575.0,,27126088
2021-10-13,571.0,,19267437
2021-10-14,573.0,,14270641
2021-10-15,600.0,,55305252
2021-10-18,590.0,,19753943
2021-10-19,600.0,,18709936
2021-10-20,598.0,,17537878
2021-10-21,596.0,,16882324
2021-10-22,600.0,,14236279
2021-10-25,593.0,,17724968
2021-10-26,599.0,,27047187
2021-10-27,599.0,,16260278
2021-10-28,595.0,,16927154
2021-10-29,590.0,,27684673
2021-11-01,590.0,,17110357
2021-11-02,592.0,,16544999
2021-11-03,592.0,,11404984
2021-11-04,587.0,,18888245
2021-11-05,600.0,,35086799
2021-11-08,602.0,,20886897
2021-11-09,611.0,,42340785
2021-11-10,612.0,,18518512
2021-11-11,606.0,,20257792
2021-11-12,604.0,,21373014
2021-11-15,608.0,,17140935
2021-11-16,610.0,,21776308
2021-11-17,610.0,,21829653
