Date,BID,ASK,BID_HIGH_1,BID_LOW_1,OPEN_BID,MID_PRICE,NUM_BIDS,ASK_LOW_1,ASK_HIGH_1,ASIAOP_BID,ASIAHI_BID,ASIALO_BID,ASIACL_BID,EUROP_BID,EURHI_BID,EURLO_BID,EURCL_BID,AMEROP_BID,AMERHI_BID,AMERLO_BID,AMERCL_BID,OPEN_ASK
2025-11-25,87028.44,87028.62,89082.27,86166.43,88802.48,87028.53,5757,86166.53,89082.44,88802.48,89082.27,87385.41,87392.39,88106.06,88139.44,86166.43,87109.28,87384.61,88110.22,86166.43,87028.44,88802.58
2025-11-26,90189.85,90190.03,90386.27,86340.23,86983.39,90189.94,5757,86340.33,90386.44,86983.39,88178.12,86583.03,87925.59,87510.23,87939.8,86340.23,87803.9,87090.85,90386.27,86340.23,90189.85,86983.49
2025-11-27,91402.64,91402.74,91887.5,90116.64,90199.6,91402.69,5758,90116.81,91887.6,90199.6,91879.63,90116.64,91418.67,91003.16,91887.5,90467.98,91466.6,91390.63,91840.24,90467.98,91402.64,90199.78
2025-11-28,90929.05,90929.15,92965.45,90262.81,91413.75,90929.1,5758,90262.99,92965.55,91413.75,91699.01,90681.6,90925.82,91599.77,92965.45,90887.71,90965.76,91439.98,92965.45,90262.81,90929.05,91413.85
2025-11-29,91041.7,91041.8,91212.32,90273.06,90942.31,91041.75,5758,90273.16,91212.42,90942.31,91212.32,90412.97,90594.41,90792.2,91192.98,90412.97,91020.75,90702.68,91192.98,90273.06,91041.7,90942.41
2025-11-30,91179.77,91179.87,91949.35,90530.71,91041.9,91179.82,5698,90530.81,91949.45,91041.9,91075.47,90530.71,91006.52,90827.6,91949.35,90768.91,91838.31,91100.27,91949.35,90968.11,91179.77,91042.0
2025-12-01,86461.39,86461.49,91330.93,83878.01,91188.5,86461.44,5757,83879.01,91331.03,91188.5,91330.93,85663.28,86571.03,86021.23,86924.09,83878.01,84568.08,86169.72,86660.12,83878.01,86461.39,91188.6
2025-12-02,91621.92,91622.1,92321.34,86231.94,86471.33,91622.01,5757,86232.04,92321.51,86471.33,87319.15,86231.94,87038.86,87035.0,91246.36,86420.0,90768.15,87392.18,92321.34,87110.06,91621.92,86471.43
2025-12-03,93738.69,93738.86,93965.64,91059.14,91621.48,93738.775,5757,91059.32,93965.81,91621.48,93965.64,91059.14,93009.92,93668.1,93965.64,91799.51,92297.43,93024.36,93686.86,91799.51,93738.69,91621.58
2025-12-04,92170.26,92170.36,94082.47,90979.31,93715.62,92170.31,5757,90979.41,94082.57,93715.62,94082.47,92727.19,93415.05,92997.41,93619.5,91830.06,92460.56,92958.21,93233.34,90979.31,92170.26,93715.72
2025-12-05,89176.8,89176.9,92699.2,88216.03,92182.07,89176.85,5757,88216.66,92699.37,92182.07,92699.2,91848.72,92270.64,91967.55,92503.53,88216.03,88889.42,91349.93,91422.15,88216.03,89176.8,92182.17
2025-12-06,89443.89,89444.01,90193.63,88952.75,89208.63,89443.95,5598,88952.92,90193.73,89208.63,89783.78,88952.75,89621.48,89604.91,90193.63,89261.86,89736.42,89636.9,90193.63,89328.68,89443.89,89208.81
2025-12-07,90225.75,90225.85,91735.94,87777.99,89458.72,90225.8,5699,87779.01,91736.11,89458.72,89784.37,88975.95,89364.14,89526.32,89732.32,87777.99,89709.17,89188.59,91735.94,87777.99,90225.75,89458.82
2025-12-08,91350.84,91351.02,92270.28,89091.99,90161.28,91350.93,5757,89093.01,92271.28,90161.28,91832.34,89091.99,91570.08,91339.4,92270.28,89664.28,89954.45,91991.79,92080.65,89664.28,91350.84,90161.38
2025-12-09,92687.58,92688.58,94621.49,89581.79,91372.4,92688.08,5757,89581.97,94622.49,91372.4,91372.4,89581.79,90480.91,89912.22,94483.87,89807.05,94218.5,90405.44,94621.49,90071.24,92687.58,91372.5
2025-12-10,92408.96,92409.14,94482.7,91653.36,92761.28,92409.05,5756,91653.46,94483.7,92761.28,93037.26,92023.1,92783.17,92590.93,93183.51,91653.36,92172.56,92133.2,94482.7,91653.36,92408.96,92762.28
2025-12-11,92909.38,92909.48,93556.59,89323.48,92389.38,92909.43,5757,89326.48,93556.69,92389.38,92716.47,89472.61,90267.45,90327.04,90613.73,89323.48,89727.4,90259.69,93556.59,89323.48,92909.38,92389.48
2025-12-12,90217.69,90217.86,93166.97,89535.5,92908.68,90217.775,5758,89536.5,93167.07,92908.68,93166.97,91505.94,92450.13,92454.17,92715.72,89535.5,90067.63,92415.14,92615.38,89535.5,90217.69,92909.86
2025-12-13,90180.82,90180.92,90641.07,89830.15,90213.52,90180.87,5759,89830.25,90641.17,90213.52,90441.3,90142.12,90330.86,90355.59,90641.07,89986.84,90122.84,90375.66,90492.52,89830.15,90180.82,90213.62
2025-12-14,88465.59,88465.69,90482.65,88404.61,90189.3,88465.64,5699,88404.71,90482.75,90189.3,90482.65,90066.15,90269.5,90215.03,90289.55,88597.59,88839.36,89332.26,89663.53,88404.61,88465.59,90189.41
