Instrument,Recommendation - Mean (1-5),Price Target - Mean,Number of Analysts
PG.N,2.2963,168.51875,26
FDS.N,3.26316,338.20813,19
ODFL.OQ,2.65385,155.88348,26
GEHC.OQ,2.09091,89.218,22
UAL.OQ,1.88,123.8681,26
FCX.N,2.04348,48.7535,23
NOC.N,2.25,663.7335,26
SNDK.OQ,2.05,271.33333,21
EVRG.OQ,2.07143,84.44909,14
ETN.N,2.1,401.21885,33
TAP.N,2.77273,51.41864,23
LIN.OQ,1.96296,500.08708,29
AMZN.OQ,1.76389,290.35606,70
MNST.OQ,2.32,73.96609,26
ESS.N,2.77778,284.23958,14
JNJ.N,2.25,206.02963,26
NVDA.OQ,1.77273,250.56228,67
PNR.N,2.0,122.41105,21
OMC.N,2.25,100.878,12
URI.N,2.13044,984.44421,24
EPAM.N,2.05263,207.67,20
SNPS.OQ,2.0,556.32458,27
CHRW.OQ,2.30769,151.2884,26
CPT.N,2.46154,116.63044,14
XYZ.N,2.04546,83.92974,43
EQR.N,2.48,70.25,12
ROK.N,2.27586,387.46923,31
PRU.N,2.82353,117.38462,17
CARR.N,2.16,72.18048,25
CAT.N,2.31035,585.7708,30
GDDY.N,2.16667,175.34733,16
SPGI.N,1.78571,603.40667,26
LW.N,2.58333,67.042,12
EXE.OQ,1.75862,133.03704,29
WY.N,2.23077,30.54546,11
MRNA.OQ,3.04,36.8555,26
ORLY.OQ,1.90323,109.978,31
T.N,2.10714,29.40222,26
GNRC.N,2.0,214.83177,24
CTSH.OQ,2.42857,85.27087,28
VRSK.OQ,2.45,253.01118,19
ORCL.N,2.04348,298.85197,47
XOM.N,2.24138,131.6524,29
HSIC.OQ,2.58824,77.74733,16
LYV.N,1.95833,169.83864,23
SW.N,1.83333,53.23625,17
LVS.N,2.04762,66.32474,20
CBRE.N,2.0,185.20333,14
HAS.OQ,1.66667,91.26,15
ECL.N,2.18519,291.8765,27
EMR.N,2.16667,149.07556,30
CNC.N,2.81818,42.32158,23
SBUX.OQ,2.525,94.05515,38
WFC.N,2.23077,94.84091,26
APH.N,2.14286,146.6879,22
PLD.N,2.07692,131.55,9
KO.N,1.88889,78.10423,27
PHM.N,2.35294,139.65786,18
DHR.N,1.7037,256.10046,28
AXON.OQ,1.81818,794.21177,21
STT.N,2.16667,130.58,19
BK.N,2.27778,118.9,17
IT.N,2.6,281.78583,15
SYF.N,2.17391,84.81818,24
UPS.N,2.4,103.77444,30
MKC.N,2.5,77.30214,16
AVY.N,2.14286,199.80917,13
COO.OQ,2.3,90.08611,20
LULU.OQ,2.875,212.76654,33
IRM.N,2.08333,116.4,9
KEY.N,2.34783,21.1015,24
EW.N,2.11765,94.914,35
MS.N,2.44,170.45,27
CAH.N,1.88889,214.44438,17
DXCM.OQ,1.67742,86.4075,31
FIS.N,2.19231,81.1055,29
WELL.N,1.85714,210.35,10
GOOGL.OQ,1.87692,311.94569,67
OTIS.N,2.5625,103.114,15
CRM.N,2.03704,324.47396,55
LRCX.OQ,2.06061,163.61857,35
YUM.N,2.3871,164.3,31
ARES.N,2.23529,188.0,15
JKHY.OQ,2.35294,185.08539,18
AEP.OQ,2.47826,128.93118,23
ALL.N,2.0,241.73684,24
VRSN.OQ,2.2,297.135,5
PEP.OQ,2.61539,158.46333,24
AJG.N,2.2381,310.37941,19
MO.N,2.6875,62.08615,16
SWKS.OQ,2.92593,83.22842,28
PPG.N,2.42308,118.54952,26
CRL.N,2.16667,189.36333,19
NSC.N,2.56522,307.80211,25
CDNS.OQ,1.92308,383.9072,27
CB.N,2.6,308.52818,26
AZO.N,1.7931,4373.41304,30
WBD.OQ,2.36364,26.29471,23
KMB.OQ,2.70588,129.5075,21
HUM.N,2.53571,289.05542,29
IBM.N,2.47826,287.1535,24
JCI.N,2.31818,130.07333,21
APD.N,2.2,305.34273,25
A.N,2.22727,167.32556,21
WEC.N,2.45,121.82059,20
TROW.OQ,3.35714,107.33333,13
HST.OQ,2.10526,19.72059,10
PGR.N,2.48,258.035,25
FRT.N,2.26316,108.69444,10
AES.N,2.33333,15.31833,15
MHK.N,2.26316,138.56722,19
FAST.OQ,2.94444,43.18583,20
COR.N,2.0,384.45063,19
ROST.OQ,1.94737,184.46563,20
PSA.N,2.18182,323.47368,10
CCL.N,1.92857,34.53046,29
DIS.N,1.94286,132.97367,32
DOW.N,2.86364,27.25,22
FSLR.OQ,2.0,269.97778,40
USB.N,2.2,55.96391,24
CI.N,1.92308,326.764,27
HII.N,2.5,336.72889,14
TTWO.OQ,1.83871,274.15871,31
LKQ.OQ,1.90909,40.95875,11
AON.N,2.21739,402.23421,22
ITW.N,3.1579,258.28867,20
PYPL.OQ,2.63636,80.01943,44
MTD.N,2.5625,1489.30786,17
MU.OQ,1.8913,241.67923,46
NWS.OQ,2.0,35.655,9
CLX.N,3.05,128.66833,20
TTD.OQ,2.36842,63.07206,35
RL.N,1.95,366.82267,21
AVB.N,2.52174,203.625,12
DPZ.OQ,2.28571,501.61433,35
ON.OQ,2.55556,58.77967,36
RMD.N,2.2381,294.89667,21
PWR.N,2.125,473.05039,33
MPWR.OQ,1.94737,1181.31786,19
RVTY.N,2.3,111.71824,20
DRI.N,2.15152,219.18035,34
CF.N,2.80952,93.895,22
DOC.N,2.15,20.52941,9
BLDR.N,2.41667,134.065,25
ROL.N,2.125,62.08667,17
FISV.OQ,2.62857,95.98321,35
TPR.N,2.0,121.85316,22
SYY.N,2.35,87.57929,21
ACN.N,2.25,278.02708,27
CFG.N,1.86364,62.025,21
NVR.N,2.57143,8658.0,6
PODD.OQ,1.66667,378.04708,27
FE.N,2.41177,49.7025,17
EBAY.OQ,2.74286,94.36767,35
KEYS.N,2.14286,215.01769,15
NWSA.OQ,2.0,35.655,9
WSM.N,2.47826,198.53526,24
NEM.N,1.86957,108.011,23
AIG.N,2.52381,87.38,21
WYNN.OQ,1.75,143.24722,18
VRTX.OQ,2.21212,491.20846,33
CTAS.OQ,2.66667,217.34813,22
BALL.N,2.29412,60.11,17
SJM.N,2.52632,116.15882,20
PM.N,1.94444,181.16688,20
MTB.N,2.22727,219.875,23
MGM.N,2.28,43.18143,22
IQV.N,1.8,249.55,26
OXY.N,2.74074,49.67583,26
NXPI.OQ,1.93939,260.10258,35
HOLX.OQ,2.84211,75.35714,20
TDG.N,2.0,1554.7605,24
HRL.N,2.72727,28.15889,12
APP.OQ,1.93103,726.0724,28
GS.N,2.54167,797.3645,28
NDAQ.OQ,1.88235,106.61539,17
NEE.N,2.15385,90.18318,27
DAL.N,1.76923,72.48095,27
DVA.N,3.0,138.58714,11
GD.N,2.33333,379.28211,25
GWW.N,2.90476,1035.53214,22
L.N,,,0
FANG.OQ,1.78788,181.0,32
GEN.OQ,2.33333,32.941,12
SRE.N,2.11111,100.60733,18
POOL.OQ,2.6875,329.4975,16
BBY.N,2.66667,83.93667,27
WTW.OQ,2.27273,363.78316,21
CL.N,2.54546,87.07571,21
MRK.N,2.2,105.62692,28
CPRT.OQ,2.30769,48.80333,13
MA.N,1.97561,654.81417,40
UDR.N,2.69565,40.65909,10
AAPL.OQ,2.12,284.42364,47
EXPE.OQ,2.44737,268.62441,37
GPC.N,2.53846,146.11111,13
NI.N,1.8,46.93462,15
SYK.N,1.96875,428.34714,33
HON.OQ,2.36667,238.9664,28
ADI.OQ,2.0,278.01281,35
VLO.N,2.2381,185.80353,22
STX.OQ,2.03846,291.77818,27
PNC.N,2.08333,221.19238,25
MMM.N,2.3,169.94353,20
AMCR.N,1.92308,10.523,14
DOV.N,2.19048,211.55368,21
PCG.N,2.05556,21.174,18
DASH.OQ,1.95652,278.89122,42
IFF.N,2.09524,82.33177,19
PAYC.N,2.61905,210.00813,21
TSCO.OQ,2.15625,63.46741,33
MOH.N,2.95,169.02941,21
FTV.N,2.75,56.73563,19
KDP.OQ,2.22222,35.13438,21
MCO.N,2.23077,542.05091,26
STZ.N,2.38462,173.38417,26
LEN.N,2.9,127.25133,22
PSKY.OQ,3.2381,14.114,22
ALGN.OQ,2.27778,180.106,19
NTRS.OQ,2.94118,134.4,16
MTCH.OQ,2.56522,37.44474,20
SHW.N,2.35714,390.46409,28
GE.N,1.95238,341.24882,20
MSI.N,1.92857,491.65222,13
KVUE.N,2.86667,19.54692,17
TMO.N,1.82143,629.9764,29
DDOG.OQ,1.86957,214.79024,46
FOXA.OQ,2.40909,68.47632,21
WDAY.OQ,2.07143,275.27421,42
MCK.N,1.77778,936.71875,19
DAY.N,2.82353,67.92385,17
BMY.N,2.7,52.87083,28
CEG.OQ,2.10526,395.69063,22
CHTR.OQ,2.86957,339.23556,25
ELV.N,2.33333,386.40238,24
CHD.N,2.69565,97.655,24
APO.N,2.0,162.86667,17
Q.N,1.85714,106.85757,7
CPB.OQ,3.04762,32.7665,21
PLTR.OQ,2.84615,185.79727,30
AFL.N,2.84615,110.83333,12
DD.N,1.83333,46.608,18
HAL.N,2.07143,29.72083,27
NUE.N,1.94118,174.74643,16
LHX.N,2.0,336.40722,23
PNW.N,2.5,96.16667,18
INCY.OQ,2.30769,99.70571,28
COF.N,1.91667,261.00952,26
OKE.N,2.04762,88.80105,19
BIIB.OQ,2.38889,179.275,37
BSX.N,1.69444,125.29118,36
AIZ.N,2.0,253.66667,8
RTX.N,2.16667,188.82095,25
MPC.N,2.4,201.17294,20
TECH.OQ,1.94118,69.40231,17
BEN.N,3.08333,24.63636,11
BX.N,2.29167,178.3445,22
TXT.N,2.35294,91.80133,17
FDX.N,2.23333,280.78846,31
TRMB.OQ,1.66667,96.811,14
VTRS.OQ,2.66667,12.45667,11
ALLE.N,2.53846,183.19273,14
BKR.OQ,1.95455,53.01722,25
CDW.OQ,2.15385,183.64636,12
RF.N,2.54167,28.86905,24
SBAC.OQ,2.36842,233.0,15
AME.N,2.31579,219.375,20
XYL.N,2.04348,167.95188,24
SPG.N,2.31818,194.8,10
ADP.OQ,2.88235,291.58846,18
FICO.N,2.18182,2020.725,23
EIX.N,2.38889,66.388,18
HLT.N,2.40741,282.33833,25
GM.N,2.24138,75.37889,31
ABNB.OQ,2.65909,141.43735,40
EG.N,2.4375,372.76667,16
HIG.N,2.47826,142.42105,22
ZBH.N,2.56667,103.00462,30
V.N,1.85366,397.28917,40
