Instrument,Company Common Name,Price Close,Volatility - 30 days,Volatility - 90 days
PG.N,Procter & Gamble Co,140.76,18.7592286575845,15.8563200609106
FDS.N,Factset Research Systems Inc,291.55,25.3478903948479,34.1208242215072
ODFL.OQ,Old Dominion Freight Line Inc,158.92,39.1684951901884,34.5352792371678
GEHC.OQ,GE Healthcare Technologies Inc,86.05,30.8658591293058,28.3265583363206
UAL.OQ,United Airlines Holdings Inc,108.39,45.1783478009853,41.3762091916485
FCX.N,Freeport-McMoRan Inc,48.11,36.9208557656297,47.8630793493931
NOC.N,Northrop Grumman Corp,560.04,17.9922878624692,17.1524620429512
SNDK.OQ,Sandisk Corp,241.61,124.036552638642,105.427484542982
EVRG.OQ,Evergy Inc,73.37,14.7839726614886,13.2603950427365
ETN.N,Eaton Corporation PLC,350.36,31.4222574586061,27.0291772948676
TAP.N,Molson Coors Beverage Co,47.06,30.0840393209392,25.3986457844249
LIN.OQ,Linde PLC,403.3,18.3963450625067,15.4647470443313
AMZN.OQ,Amazon.com Inc,230.28,39.5265205953914,31.112691386891
MNST.OQ,Monster Beverage Corp,72.49,23.2189025150856,23.6920337820529
ESS.N,Essex Property Trust Inc,258.13,16.3178284774068,17.9761919285984
JNJ.N,Johnson & Johnson,210.01,16.4146701473886,13.8025746689425
NVDA.OQ,NVIDIA Corp,180.93,35.9610596630759,33.0722485069049
PNR.N,Pentair PLC,105.89,21.6372785134933,21.7082536353181
OMC.N,Omnicom Group Inc,80.07,32.6530832360067,28.8358363877291
URI.N,United Rentals Inc,833.85,25.0847812922597,29.1500186717527
EPAM.N,Epam Systems Inc,211.11,27.5159344291189,35.570520341318
SNPS.OQ,Synopsys Inc,477.26,36.7321612857252,86.7005272936309
CHRW.OQ,CH Robinson Worldwide Inc,159.8,55.4389850464417,36.1710753066811
CPT.N,Camden Property Trust,104.17,17.1336653699978,18.2258137330404
XYZ.N,Block Inc,63.61,50.4962650345382,42.4627620746047
EQR.N,Equity Residential,60.63,16.3902874472727,18.7443675141761
ROK.N,Rockwell Automation Inc,413.05,26.0792327954047,24.5216972777488
PRU.N,Prudential Financial Inc,117.05,18.0782180996271,20.8229141957447
CARR.N,Carrier Global Corp,54.15,27.5759073351298,27.761992081494
CAT.N,Caterpillar Inc,625.61,27.1449245375086,31.454909797617
GDDY.N,GoDaddy Inc,126.05,23.3409802763618,31.6777348991677
SPGI.N,S&P Global Inc,497.56,18.466024223734,20.8655566555786
LW.N,Lamb Weston Holdings Inc,59.48,27.2249854991301,30.3531206082725
EXE.OQ,Expand Energy Corp,114.33,32.7997114597082,29.3704682307628
WY.N,Weyerhaeuser Co,23.2,25.3684687688847,24.8793344994472
MRNA.OQ,Moderna Inc,29.63,74.1235882995556,58.2996158144022
ORLY.OQ,O'Reilly Automotive Inc,93.96,22.239353743994,19.2215015086524
T.N,AT&T Inc,24.3,15.1380194963227,19.5173081391282
GNRC.N,Generac Holdings Inc,167.65,52.3633349391516,44.1020527267194
CTSH.OQ,Cognizant Technology Solutions Corp,83.82,22.6859878156221,24.4570381568646
VRSK.OQ,Verisk Analytics Inc,216.29,22.89124401768,28.2789008631038
ORCL.N,Oracle Corp,198.85,54.4243714685974,71.3173367376151
XOM.N,Exxon Mobil Corp,119.54,16.8408791809548,17.2590170434879
HSIC.OQ,Henry Schein Inc,76.24,36.3689072474729,27.9563314329466
LYV.N,Live Nation Entertainment Inc,141.87,44.2083292834824,31.1496676045
SW.N,Smurfit WestRock PLC,38.01,35.3242866483876,39.1772194548236
LVS.N,Las Vegas Sands Corp,66.2,24.1528335200258,36.3617027698328
CBRE.N,CBRE Group Inc,160.46,23.0964114737384,21.9280916827817
HAS.OQ,Hasbro Inc,83.96,20.8944659685624,22.516478191571
ECL.N,Ecolab Inc,261.33,19.3132079877205,20.0692620561256
EMR.N,Emerson Electric Co,139.57,26.9328289500478,25.9081912945651
CNC.N,Centene Corp,40.46,49.8944447616969,48.6894390589971
SBUX.OQ,Starbucks Corp,84.74,30.9383591754961,27.1825189271973
WFC.N,Wells Fargo & Co,92.59,18.7699430867785,24.5943924233593
APH.N,Amphenol Corp,139.09,32.1287493543489,28.9106651337223
PLD.N,Prologis Inc,130.56,12.5168563646447,22.0697892281302
KO.N,Coca-Cola Co,69.11,15.3655548654163,15.4396191782351
PHM.N,Pultegroup Inc,127.57,30.365850880892,30.371433271665
DHR.N,Danaher Corp,232.37,18.3475777561405,28.7568511562868
AXON.OQ,Axon Enterprise Inc,581.03,43.899127267794,42.856061175635
STT.N,State Street Corp,129.6,19.0129842337389,22.0175856888901
BK.N,Bank of New York Mellon Corp,118.68,16.5673909917831,16.8059622110565
IT.N,Gartner Inc,232.66,35.4022469058786,37.3333890409569
SYF.N,Synchrony Financial,85.66,24.7917052207971,25.5906954873701
