,skew_put_minus_call,term_structure_inversion,liquidity_flag,short_interest,returns_5d,drawdown
,,,,,,
Date,,,,,,
2014-12-31,,,,,,
2015-01-01,,,,,,
2015-01-02,,,,,,0.0
2015-01-05,,,,,,-0.028171590597274254
2015-01-06,,,,,,-0.028080124394036288
2015-01-07,,,,,,-0.014451660111588716
2015-01-08,,,60530659.2,,,0.0
2015-01-09,,,59830956.8,,0.024512942467758148,0.0
2015-01-12,,,53756583.2,,0.028235294117647136,-0.024640657084188944
2015-01-13,,,54434096.0,,0.03726708074534146,-0.015980716007499396
2015-01-14,,,56970490.4,,0.01902552204176322,-0.019730381215962933
2015-01-15,,,58496123.2,,-0.04531236035391906,-0.04633514864744226
2015-01-16,,,63524543.2,,-0.053745201321310665,-0.053745201321310665
2015-01-19,,,,,-0.029839816933638463,
2015-01-20,,,,,-0.013609145345672258,-0.029372377466297728
2015-01-21,,,,,-0.0022768670309654127,-0.021962324792429322
2015-01-22,,,,,0.05223740872495797,0.0
2015-01-23,,,,,0.0659496178884802,0.0
2015-01-26,,,54616147.2,,0.06708180016982723,0.0
2015-01-27,,,61518307.2,,0.003863134657836609,-0.035013262599469464
2015-01-28,,,77965664.0,,0.0525787311729804,0.0
2015-01-29,,,81995186.4,,0.057829181494661874,0.0
2015-01-30,,,90400065.6,,0.03699769870773584,-0.014634146341463539
2015-02-02,,,90295544.8,,0.04889478337754194,-0.002270815811606486
2015-02-03,,,82563860.0,,0.08713578889499729,-0.002102607232968845
2015-02-04,,,69226889.6,,0.03685716763507063,0.0
2015-02-05,,,61556659.2,,0.00874684608915044,0.0
2015-02-06,,,52640547.2,,0.015107545237282416,-0.008420877105219216
2015-02-09,,,48344811.2,,0.00918823231897492,-0.0018342504585625585
2015-02-10,,,50060528.8,,0.02840286557100713,0.0
2015-02-11,,,50142948.8,,0.04449648711943799,0.0
2015-02-12,,,55465188.8,,0.05436051359012839,0.0
2015-02-13,,,57235063.2,,0.06852770537290831,0.0
2015-02-16,,,,,0.06147677915135308,
2015-02-17,,,,,0.0476151450581872,0.0
2015-02-18,,,,,0.030709481101857783,0.0
2015-02-19,,,,,0.015736201170330588,-0.0020588121042615093
2015-02-20,,,,,0.019003777148253187,0.0
2015-02-23,,,47461631.2,,0.04658482845451695,0.0
2015-02-24,,,48328218.4,,0.03395134162559632,-0.006240601503759491
2015-02-25,,,52504284.0,,0.0005826826710173538,-0.031654135338345935
2015-02-26,,,61311844.0,,0.015297781237835872,-0.019436090225563918
2015-02-27,,,64105484.8,,-0.00799258658635471,-0.034135338345864574
2015-03-02,,,62024966.4,,-0.029398496240601424,-0.029398496240601424
2015-03-03,,,56504345.6,,-0.021260497843686,-0.027368421052631486
2015-03-04,,,49643876.8,,-0.0019411444987964543,-0.033533834586466194
2015-03-05,,,44267492.0,,-0.030709657631407428,-0.04954887218045112
2015-03-06,,,44640816.0,,-0.014479215319944005,-0.048120300751879785
2015-03-09,,,49971818.4,,-0.015105740181268867,-0.0440601503759398
2015-03-10,,,56060928.0,,-0.03749226963512686,-0.06383458646616536
2015-03-11,,,61613464.8,,-0.0490119807063949,-0.08090225563909781
2015-03-12,,,61622651.2,,-0.015505102444426822,-0.06428571428571428
2015-03-13,,,57897240.0,,-0.023775671406003118,-0.07075187969924812
2015-03-16,,,51184486.4,,-0.01722510618216133,-0.06052631578947365
2015-03-17,,,48217166.4,,0.020319653039916563,-0.04481203007518797
2015-03-18,,,54409109.6,,0.050965314136125706,-0.0340601503759399
2015-03-19,,,54921452.0,,0.02446765769385295,-0.04139097744360898
2015-03-20,,,71574612.0,,0.018690832591633733,-0.05338345864661653
2015-03-23,,,71135718.4,,0.018087234893957582,-0.0435338345864662
2015-03-24,,,68512136.8,,-0.0027550377833753803,-0.0474436090225564
2015-03-25,,,62316232.8,,-0.039620144780882716,-0.07233082706766925
2015-03-26,,,63304823.2,,-0.025530412957370907,-0.0658646616541354
2015-03-27,,,45597210.4,,-0.021048451151707726,-0.07330827067669177
2015-03-30,,,47230055.2,,-0.006603254461127195,-0.049849624060150366
2015-03-31,,,50549866.4,,-0.017838819164890607,-0.06443609022556385
2015-04-01,,,48306507.2,,0.007051385962068446,-0.06578947368421051
2015-04-02,,,44554620.0,,0.008692852543464191,-0.057744360902255654
2015-04-03,,,,,0.016795131845841693,
2015-04-06,,,,,0.007755005143625704,-0.042481203007518786
2015-04-07,,,,,0.012697902435104158,-0.05255639097744358
2015-04-08,,,,,0.010865191146881337,-0.05563909774436093
2015-04-09,,,,,0.009894669645706955,-0.04842105263157892
2015-04-10,,,35988794.4,,0.014203638684966435,-0.044360902255639156
2015-04-13,,,36226608.0,,-0.0039261876717706645,-0.046240601503759415
2015-04-14,,,33620644.8,,0.00230140465042461,-0.050375939849624074
2015-04-15,,,32099723.2,,0.009394904458598807,-0.04676691729323312
2015-04-16,,,30980604.8,,-0.0030815423514538587,-0.051353383458646595
2015-04-17,,,33793018.4,,-0.018489378442171467,-0.06203007518796988
2015-04-20,,,36688905.6,,0.005912495072920798,-0.04060150375939853
2015-04-21,,,37991674.4,,0.004829770387965171,-0.0457894736842106
2015-04-22,,,40255112.0,,0.014513330178261619,-0.03293233082706759
2015-04-23,,,44149625.6,,0.02774035032099542,-0.025037593984962525
2015-04-24,,,42467498.4,,0.044328657314629316,-0.02045112781954883
2015-04-27,,,49644142.4,,0.03957680250783713,-0.0026315789473684292
2015-04-28,,,63755840.0,,0.028760538964620608,-0.01834586466165411
2015-04-29,,,65871133.6,,0.0001554968123151923,-0.032781954887218134
2015-04-30,,,72754247.2,,-0.03485771573995511,-0.05902255639097742
2015-05-01,,,75245765.6,,-0.010208781086889829,-0.03045112781954895
2015-05-04,,,66935857.6,,-0.02977761025254444,-0.03233082706766921
2015-05-05,,,56503692.8,,-0.03645833333333337,-0.0541353383458647
2015-05-06,,,58820192.0,,-0.028218283582089443,-0.060075187969924726
2015-05-07,,,50457725.6,,0.0008789452656812191,-0.05819548872180447
2015-05-08,,,50638841.6,,-0.010314075222954466,-0.04045112781954885
2015-05-11,,,48958143.2,,-0.018492618492618407,-0.05022556390977451
2015-05-12,,,48636721.6,,0.0005166931637519134,-0.05364661654135339
2015-05-13,,,42059350.4,,0.007999360051195836,-0.05255639097744358
2015-05-14,,,42774260.0,,0.02945872585023146,-0.03045112781954895
2015-05-15,,,39628768.0,,0.009011126782636047,-0.03180451127819539
2015-05-18,,,41575384.0,,0.03063647878404052,-0.021127819548872218
2015-05-19,,,40593279.2,,0.033408811027688445,-0.022030075187969955
2015-05-20,,,41842970.4,,0.03214030632489484,-0.02210526315789474
2015-05-21,,,40185207.2,,0.018922062815044605,-0.012105263157894841
2015-05-22,,,40568624.0,,0.029277005513706378,-0.003458646616541383
2015-05-25,,,,,0.018050541516245522,
2015-05-26,,,,,-0.003459675559314146,-0.025413533834586444
2015-05-27,,,,,0.015262186683069334,-0.00718045112781962
2015-05-28,,,,,0.0029682624248421607,-0.009172932330827055
2015-05-29,,,,,-0.017051456164176804,-0.02045112781954883
2015-06-01,,,43197872.8,,-0.015127508676625934,-0.01853383458646618
2015-06-02,,,36841098.4,,0.0026230519981484957,-0.022857142857142798
2015-06-03,,,32739497.6,,-0.014578363436707042,-0.021654135338345815
2015-06-04,,,34434624.8,,-0.01836393989983298,-0.027368421052631486
2015-06-05,,,29875928.0,,-0.012511513662879947,-0.03270676691729324
2015-06-08,,,34373008.8,,-0.02095223503274979,-0.0390977443609023
2015-06-09,,,38186952.8,,-0.01954447522314562,-0.04195488721804508
2015-06-10,,,40442828.8,,-0.009529664924684988,-0.030977443609022548
2015-06-11,,,41566844.0,,-0.005952380952381042,-0.03315789473684205
2015-06-12,,,43225424.0,,-0.011504080839487063,-0.04383458646616545
2015-06-15,,,40509954.4,,-0.006885758998435021,-0.04571428571428571
2015-06-16,,,36920671.2,,0.0014126510751844013,-0.04060150375939853
2015-06-17,,,36477850.4,,-0.012259466170080668,-0.04285714285714293
2015-06-18,,,34650128.0,,-0.00552142468310135,-0.038496240601503806
2015-06-19,,,44319261.6,,-0.0044821891955650894,-0.048120300751879785
2015-06-22,,,44549314.4,,0.005436495430192201,-0.040526315789473744
2015-06-23,,,44940012.8,,-0.004467084639498409,-0.04488721804511275
2015-06-24,,,47353139.2,,0.006362922230950696,-0.036766917293233004
2015-06-25,,,47817853.6,,-0.0029715358148263427,-0.041353383458646586
2015-06-26,,,40347687.2,,0.0011848341232227888,-0.046992481203007475
2015-06-29,,,41298836.8,,-0.02413603949533738,-0.06368421052631579
2015-06-30,,,44058444.8,,-0.012634810674643782,-0.05695488721804509
2015-07-01,,,39921344.8,,-0.011786745765358098,-0.048120300751879785
2015-07-02,,,38549900.8,,-0.008313725490196044,-0.04932330827067666
2015-07-03,,,,,-0.0024457593688362866,
2015-07-06,,,,,0.01180438448566612,-0.052631578947368474
2015-07-07,,,,,0.0021128164241579483,-0.05496240601503766
2015-07-08,,,,,-0.03183254344391784,-0.07842105263157895
2015-07-09,,,,,-0.050379626700411295,-0.09721804511278198
2015-07-10,,,46753029.6,,-0.02499209111040812,-0.0730827067669173
2015-07-13,,,50130557.6,,-0.0026984126984127554,-0.05518796992481201
2015-07-14,,,46889868.8,,-0.0006364865940010622,-0.05556390977443615
2015-07-15,,,42576372.0,,0.03467406380027738,-0.04646616541353388
2015-07-16,,,36161073.6,,0.07029232947447328,-0.033759398496240656
2015-07-17,,,35902384.0,,0.05142764438676184,-0.025413533834586444
2015-07-20,,,35433262.4,,0.05101066369568685,-0.00699248120300755
2015-07-21,,,43234083.2,,0.04092030889260401,-0.016917293233082664
2015-07-22,,,57348003.2,,-0.012616306576249792,-0.05849624060150371
2015-07-23,,,60682564.8,,-0.026068010271574127,-0.05894736842105264
2015-07-24,,,57609472.8,,-0.039500077148588164,-0.06390977443609025
2015-07-27,,,57363346.4,,-0.07041720299840992,-0.07691729323308272
2015-07-28,,,50727729.6,,-0.0563671128107075,-0.07233082706766925
2015-07-29,,,36696093.6,,-0.017808656764095265,-0.07526315789473692
2015-07-30,,,33416832.8,,-0.022291466922339298,-0.07992481203007518
2015-07-31,,,32933660.8,,-0.025702811244979973,-0.08796992481203014
2015-08-03,,,35902232.0,,-0.035269202573918745,-0.10947368421052628
2015-08-04,,,46237295.2,,-0.07083806127411241,-0.13804511278195486
2015-08-05,,,53130902.4,,-0.061712334336124774,-0.13233082706766908
2015-08-06,,,55215981.6,,-0.05916482798071432,-0.13436090225563913
2015-08-07,,,54372352.8,,-0.04765045342126961,-0.13142857142857145
2015-08-10,,,50786087.2,,0.010807159743329908,-0.09984962406015041
2015-08-11,,,47932991.2,,-0.010031402651779486,-0.14669172932330832
